LEAVE_ID,EMPLOYEE_ID,LEAVE_TYPE,START_DATE,DAYS,STATUS,REASON
59,22,Annual,2026-04-29,6,Approved,Throw project consider.
60,40,Sick,2025-12-28,5,Rejected,Size tonight ground while action teacher.
61,19,Sick,2025-12-16,6,Pending,Bad book Democrat.
62,21,Personal,2026-06-07,4,Approved,Trade get something rather.
63,20,Annual,2026-02-09,9,Approved,Employee plant pay allow executive what manage share.
64,18,Annual,2026-03-27,4,Pending,Suddenly less nearly us remain.
65,9,Personal,2026-08-09,5,Approved,Purpose popular tree project stop answer work explain.
66,44,Annual,2026-05-26,9,Approved,Democratic fight return data today budget everyone call.
67,30,Sick,2025-11-18,2,Approved,There into media.
68,19,Sick,2025-12-05,10,Pending,Ask myself phone travel western.
69,22,Annual,2026-07-19,8,Approved,They pattern company nation get seek.
70,26,Annual,2026-01-07,10,Approved,Rather future animal hold almost imagine.
71,22,Annual,2026-06-28,2,Approved,Notice officer popular huge investment trial station.
72,25,Personal,2026-03-11,1,Approved,Available hit keep enjoy.
73,17,Personal,2026-04-11,9,Approved,You may reason by threat.
74,18,Sick,2026-03-25,4,Approved,Production now eye ok white.
75,28,Sick,2026-04-29,10,Approved,Technology after hotel learn serve suffer.
76,28,Annual,2025-10-22,3,Approved,Foreign design plan stock authority defense.
77,24,Sick,2025-09-18,1,Pending,Finish candidate hospital experience least effort.
78,18,Annual,2026-05-23,5,Approved,Article cost water reflect change smile film task.
79,7,Personal,2026-08-08,7,Approved,Address skin number poor.
80,43,Sick,2025-08-27,2,Approved,Stuff another each PM where new.
81,40,Sick,2026-01-14,7,Approved,Member drug charge total because hotel.
82,15,Sick,2026-06-10,5,Pending,Some pattern according to free.
83,23,Personal,2025-11-07,1,Approved,Free theory none so myself follow not.
84,21,Sick,2025-11-17,7,Approved,Because order order interest.
85,40,Annual,2025-11-12,2,Approved,House discuss successful industry.
86,40,Unpaid,2026-01-07,8,Approved,Something those center have.
87,16,Personal,2025-12-13,4,Approved,Cost eight work three reason call traditional.
88,11,Personal,2025-12-12,5,Approved,Before general class require.
89,16,Sick,2026-04-01,10,Pending,Accept country red collection positive part produce.
90,25,Annual,2025-12-18,2,Pending,Good travel size mission.
91,27,Sick,2026-04-05,3,Approved,Reveal rather not its significant me deep.
92,25,Personal,2026-03-04,1,Approved,Forward nearly room thing notice less.
93,18,Annual,2026-08-01,8,Approved,Cold real high might remember seek significant.
94,34,Annual,2025-09-01,8,Approved,Long she record teach attack.
95,25,Personal,2026-06-28,4,Approved,Participant choice training look common meeting.
96,46,Annual,2026-08-14,7,Approved,Which financial apply benefit method collection.
97,26,Annual,2026-01-29,6,Approved,Class approach necessary past Mr personal stuff.
98,16,Sick,2025-12-18,7,Approved,Career watch arrive become everything.
99,31,Unpaid,2026-08-08,10,Approved,Pressure room under team security.
100,45,Annual,2026-08-22,1,Approved,Instead well growth own.
101,23,Annual,2025-09-01,8,Approved,Red pull save same camera.
102,29,Personal,2025-10-06,7,Approved,Without everybody research chance system.
103,15,Annual,2026-01-02,8,Approved,Response marriage sure camera.
104,15,Personal,2026-07-18,9,Approved,During responsibility among since.
105,13,Personal,2026-03-05,6,Approved,Me individual though imagine.
106,15,Annual,2025-11-11,2,Approved,Culture radio station general soldier discuss.
107,36,Annual,2025-10-01,9,Rejected,Lead green total benefit Mr car.
108,29,Annual,2025-11-02,7,Approved,Raise prepare wrong bed.
109,12,Annual,2026-01-28,3,Approved,Like her part team.
110,15,Personal,2026-07-05,1,Approved,Old what design want.
111,48,Annual,2026-05-29,8,Rejected,Enough success score.
112,11,Annual,2025-11-30,10,Approved,At hit class nothing soon.
113,5,Sick,2026-01-06,3,Approved,Voice information add argue image.
114,50,Annual,2026-02-26,3,Approved,Why individual wide hotel west theory.
115,12,Annual,2025-08-26,6,Pending,Himself red upon.
116,50,Annual,2025-09-01,9,Approved,Now sound gun art.
117,4,Annual,2025-11-15,1,Approved,Expert several effort prevent kid issue woman range.
118,9,Annual,2026-06-29,6,Approved,Show response nothing gas few page cold couple.
119,18,Annual,2026-04-11,3,Approved,History its street because.
120,46,Annual,2026-07-15,10,Pending,Eight skill program try.
121,5,Unpaid,2025-10-30,1,Approved,Wait never fly pull big method.
122,34,Personal,2026-08-03,7,Approved,Player western move manage worry wear pay.
123,47,Annual,2026-05-17,8,Rejected,Us challenge drive find star be over radio.
124,34,Annual,2026-06-28,10,Approved,Determine nice source thought result.
125,48,Annual,2025-12-28,9,Rejected,Water wind cost hand arm.
126,11,Sick,2026-05-04,3,Pending,Door early we we alone ready back.
127,14,Annual,2026-02-26,5,Approved,Summer more if hear responsibility have.
128,27,Annual,2026-01-22,6,Approved,Sing hospital ready push material somebody husband.
129,32,Annual,2025-08-30,4,Approved,Return wall trouble friend current.
130,41,Sick,2026-04-09,10,Pending,Job nor yard establish hit.
131,48,Annual,2026-01-23,7,Approved,Since him southern issue town call computer experience.
132,2,Personal,2026-04-03,5,Approved,Movement traditional of.
133,30,Sick,2026-02-28,4,Approved,True fill beautiful game set other follow vote.
134,27,Unpaid,2025-12-25,3,Pending,High few land both two add thank.
135,7,Annual,2025-09-18,6,Approved,Carry happy response would enter.
136,25,Personal,2026-03-31,2,Approved,Business sport apply property enter name.
137,23,Personal,2026-05-31,8,Approved,Easy today wait staff feeling.
138,31,Annual,2026-02-07,4,Approved,Though degree special laugh include price.
139,33,Annual,2025-10-12,3,Approved,Difficult which quite adult move rather business.
140,36,Annual,2025-09-03,9,Approved,State turn center build happy near begin.
141,34,Annual,2026-04-08,7,Approved,Exactly choose guy wide evidence to item.
142,40,Annual,2026-07-06,6,Approved,Something employee such practice quickly any market.
143,4,Personal,2026-06-17,2,Pending,Thank value quality reality.
144,49,Annual,2026-05-12,1,Approved,Someone themselves star development know laugh.
145,36,Sick,2026-06-07,9,Approved,Involve radio image crime about everything artist.
146,10,Unpaid,2026-03-03,6,Approved,Understand picture ground.
147,29,Sick,2026-07-13,5,Approved,Sport usually as until.
148,49,Personal,2025-10-08,10,Approved,For mind worker already TV low.
149,26,Annual,2025-09-13,5,Approved,Role assume control leg.
150,9,Annual,2026-06-09,4,Approved,Build ago feeling whose realize.
